id,query,Unnamed,title,image,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
15,apartment in  Buea Behind congelcam,702,"2 bedrooms apartment for rent  |  Behind congelcam, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/6e22c69b28ce6c5d3a0f3f57907e232b.jpg,https://digitalrenter.com/en/apartment/Behind%20congelcam/Buea/apartment-to-let-2375?locale=en,Apartment,2,2.0,Behind congelcam, Buea,150000.0,per month,150,10
16,apartment in  Buea Behind congelcam,849,"2 bedrooms apartment for rent  |  Behind congelcam, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ee01fc972461af03e27e49f56ee01861.JPEG,https://digitalrenter.com/en/apartment/Behind%20congelcam/Buea/apartment-to-let-1877?locale=en,Apartment,2,1.0,Behind congelcam, Buea,70000.0,per month,70,5
17,1 bedroom house in St.Luke Buea,500,"1 for rent  |  St.Luke, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/008350513403bb3bde98c5994e85c590.JPEG,https://digitalrenter.com/en/studio/St.Luke/Buea/studio-to-let-2998?locale=en,Studio,1,1.0,St.Luke, Buea,75000.0,per month,75,5
18,2 bedroom house in New Town Limbe,714,"2 bedrooms apartment for rent  |  New Town, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/942cc862342ce31191241d2471914198.JPEG,https://digitalrenter.com/en/apartment/New%20Town/Limbe/apartment-to-let-2332?locale=en,Apartment,2,1.0,New Town, Limbe,70000.0,per month,70,6
19,1 bedroom house in Bonduma Buea,0,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/fcaaf9bf27b22ccf44ec3207298263de.jpg,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3309?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,4
20,1 bedroom house in Bonduma Buea,40,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/32060c84396251d438c472e145ea3b60.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3914?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,5
21,1 bedroom house in Bonduma Buea,58,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/7af509b615aee3adfc32538cc0058c63.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3888?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,5
22,1 bedroom house in Bonduma Buea,64,"1 bedroom single room for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/e1f57f5ad495e481fdf561f9cad5fd45.JPEG,https://digitalrenter.com/en/single%20room/Bonduma/Buea/single-room-to-let-3882?locale=en,Single Room,1,1.0,Bonduma, Buea,30000.0,per month,30,3
23,1 bedroom house in Bonduma Buea,65,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/24be4b12019c26b04efdcce630f175b7.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3881?locale=en,Studio,1,1.0,Bonduma, Buea,45000.0,per month,45,5
24,1 bedroom house in Bonduma Buea,78,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3851?locale=en,Studio,1,1.0,Bonduma, Buea,80000.0,per month,80,0
25,1 bedroom house in Bonduma Buea,138,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a339329304a9a4d5db6e0b1c55e5eb65.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3725?locale=en,Studio,1,1.0,Bonduma, Buea,60000.0,per month,60,4
26,1 bedroom house in Bonduma Buea,142,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/da4f75faffe3efbfcdb65ce2c63924ed.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3720?locale=en,Studio,1,1.0,Bonduma, Buea,65000.0,per month,65,7
27,1 bedroom house in Bonduma Buea,148,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/4de70a2166b2419c5c29c3b8dcd9de55.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3713?locale=en,Studio,1,1.0,Bonduma, Buea,70000.0,per month,70,5
28,1 bedroom house in Bonduma Buea,175,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/b33946bfa418612fb0983e82d798bbb5.jpg,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3661?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,4
29,1 bedroom house in Bonduma Buea,199,"1 for sale  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/2a5bc86051307be8a261b8712ecc7bb5.jpg,https://digitalrenter.com/en/store/Bonduma/Buea/store-for-sale-3570?locale=en,Guest house,1,1.0,Bonduma, Buea,1250000.0,per month,1,2
30,1 bedroom house in Bonduma Buea,210,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3ef952b7a0b1f17f79a3c91bd41da4a4.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3552?locale=en,Studio,1,1.0,Bonduma, Buea,60000.0,per month,60,8
31,1 bedroom house in Bonduma Buea,211,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/0ccc0175845b6dfa6c60042506f19d93.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3551?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,7
32,1 bedroom house in Bonduma Buea,224,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/b44d6975f4f18b829699619129bd52ee.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3532?locale=en,Studio,1,1.0,Bonduma, Buea,45000.0,per month,45,4
33,1 bedroom house in Bonduma Buea,227,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/d76ed28d471378e77034fd363cc25aed.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3528?locale=en,Studio,1,1.0,Bonduma, Buea,70000.0,per month,70,8
34,1 bedroom house in Bonduma Buea,253,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/f94695c87bba0281cf72c7356f1d24d7.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3501?locale=en,Studio,1,1.0,Bonduma, Buea,70000.0,per month,70,6
35,1 bedroom house in Bonduma Buea,255,"1 room for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/60db6c416d5517bce4bd19b17ca84e06.JPEG,https://digitalrenter.com/en/single%20room/Bonduma/Buea/single-room-to-let-3498?locale=en,Single Room,1,1.0,Bonduma, Buea,30000.0,per month,30,3
