Unnamed: 0,title,link,images,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
10,"3 bedroom bedrooms apartment for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/apartment/After%20GHS%20Limbe%20/Limbe/apartment-to-let-3976?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/3d260b68ffa9ea38fb02da1938dcf640.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/fa41edf35afb39e3f4702f2a976e7cc6.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/04ef574d1e37012ab3a06a14ffac6c44.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/9dfbe77a2b8eae54d0121340ed64c465.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/4d8c59290f3500b930da44c5e83c3e40.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/f6d2864a049f23541964a90e329cb13e.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/13fde01ea9ae65f7711d1caaeb5f92f4.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/a371509f042aac93791e11bb18b27623.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/7602637071e666b225996f959f84f6c7.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/c29507d08bf8860c04dd2bb91a1fa6f3.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/56fc6aa842d2c1eb359de48c1aa4b9bf.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/313b2f36ee1a9dd67f014f6fdac957d5.JPEG']",Apartment,3.0,3.0,After GHS Limbe , Limbe,150000.0,per month,150,12
11,"1 bedroom room for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/single%20room/After%20GHS%20Limbe%20/Limbe/single-room-to-let-3975?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/c9990f206f1ac2074409035b79d195a2.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/970b27a4e92928cd5b3693fd5c4a5eda.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/40e947f8bb8f4b91f886a9487670db6a.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/fac3f6aef7e99b6f8477d9b7e717f8ec.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/7313f5b8f1ba93035d24d55be2a308f1.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/66cb6733a105be3dc2e12eeba1132e0c.JPEG']",Single Room,1.0,1.0,After GHS Limbe , Limbe,50000.0,per month,50,6
12,"1 bedroom room for rent  |  Mile 4, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%204/Limbe/single-room-to-let-3974?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/2fbf22279090bde6c259af5109550b76.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/a618ab17b86e611a3c93c53aa1ca47f7.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/7b5be9cfddfb71959ea3b36d420a5719.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/dcc90c80cb7aff4125474bfe4f8dff68.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/4ef64214381bb2901e265a41ccda16e7.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/9abf64b7e54da339a0f5210907133cde.JPEG']",Single Room,1.0,1.0,Mile 4, Limbe,30000.0,per month,30,6
13,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3973?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/96e48f967df252770b2c11c50644634a.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/7a09cd3f6640c895170a690ab7563e92.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/4e11b74fe16ccb217f594f410409162f.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/62f6d01f63626f1b6a2a1500f9093d6c.JPEG']",Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
14,"1 bedroom for rent  |  Mile 3, Limbe, Cameroon",https://digitalrenter.com/en/studio/Mile%203/Limbe/studio-to-let-3972?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/b25f09f9af545d8264fb4fe804894493.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/ec14652a7e435f439b871f53b8febd14.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/99428358d897059b810629d0b15a6069.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/3064c210125aa58da67882eb5b60245c.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/a14ac89ecef0ae55bee094b1b3c520a5.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/a7099c6751545d65d18fdcd4636b6aa8.JPEG']",Studio,1.0,1.0,Mile 3, Limbe,100000.0,per month,100,6
15,"1 bedroom room for rent  |  Karata, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Karata/Limbe/single-room-to-let-3971?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/60415b80e32c0c3ca29e509f064012ce.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/e2fc10205de7a2ea56cf3b9f5d88da1e.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/097448bf0795547ac0e39faa464b557c.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/aee3ff1bd7f388208cc715657956d65d.JPEG']",Single Room,1.0,1.0,Karata, Limbe,45000.0,per month,45,4
16,"2 bedroom bedrooms apartment for rent  |  Kie layout , Limbe, Cameroon",https://digitalrenter.com/en/apartment/Kie%20layout%20/Limbe/apartment-to-let-3970?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/101cb5ca0eb52bdac8a1a00a658e3635.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/7054228d6def435077116449a254a9a9.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/8f4ac1661c6f322c2b931cf7d1fb827f.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/ece251ea9f9d752270228022cd1bd48b.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/3ebc0d99af2a48dfaac6fffbcd36d618.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/d1854d76aedf339d8b8f392cd2c22f0a.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/55ecb6c960705473f350b49f329dc3c0.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/9515ea28230006fa8eca3ff3ef77086a.JPEG']",Apartment,2.0,2.0,Kie layout , Limbe,90000.0,per month,90,8
17,"1 bedroom for rent  |  Busumbu,mile 2 , Limbe, Cameroon","https://digitalrenter.com/en/studio/Busumbu,mile%202%20/Limbe/studio-to-let-3969?locale=en","['https://digitalrenter.s3.amazonaws.com/listings/6ace02bd71fad3776bd632de2b9437a8.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/89617cc036c964ee1716c9ae6ef2fdd3.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/2f2292cc5f1b2057cd8db327e372ab04.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/98f9ac570ef16de55c208ba521e5c2ee.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/b20e2d578255c1114997015404ff1fed.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/e23bd39c41e4e998a99ec93a9047829e.JPEG']",Studio,1.0,1.0,Busumbu,mile 2 ,75000.0,per month,75,6
18,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3964?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/049532973ec5ab715e5ba4fac5a7df87.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/d0c5335fa8b6ae27dedb331e103a637a.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/17a41f72a70458112750fb0995301fb6.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/cb2ba808fbcc541fabc9ea85cfb43b9a.JPEG']",Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
19,"1 bedroom toguest house for sale   |  Efoulan , Yaounde, Cameroon",https://digitalrenter.com/en/guest%20house/Efoulan%20/Yaounde/guest-house-for-sale-3962?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/5a275da6579216c4bed66c4b3d2445fa.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/0c27967340aec3457fdaf5c31815df0c.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/0820f0fec228705556b58d8319c74695.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/e2e491175df434ac478b6e99727f597c.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/184dd373460c48e629dc20f00eb416c9.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/28c8198f44747caee7df3c32fc36699b.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/5cbca78e324ef33c20aef81146debf9c.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/11828ccb17da3c0b67458c9f332210e6.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/284405d8dbbcfabd89aae95a46b70dc9.jpg', 'https://digitalrenter.s3.amazonaws.com/listings/9a4391f9a4366fbc8137189421c15e9b.jpg']",Guest house,1.0,1.0,Efoulan , Yaounde,80000000.0,As from,80,10
